mean,std,min,max,median,rms,zcr,spectrogram_mean_energy,spectrogram_peak_frequency,spectrogram_bandwidth,fft_total_energy,fft_dominant_frequency,fft_mean_magnitude,spectral_centroid,energy_entropy,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-0.0082076030418517,0.0199897055137547,-0.1813515975747044,0.1192863654957798,-0.0082534881891618,0.0216090970246155,0.0371428571428571,1.2662451045550177e-06,82.03125,13.0,78.3177935170153,0,0.2237651243343294,42.0066332816037,6.023441396905651,-10.517235122951778,23.472279221054738,9.918711385335566,-1.9323112095627424,-8.673000229539253,-9.437793313660762,-6.487048502113952,-2.219719567136245,0.194439861071784,1.2065332459966778,0.1773871839808172,-0.2190765493925,-1.2530658416345817,WALKING
-0.0084539784734614,0.0169899782535739,-0.1522870539492057,0.0784826091353635,-0.0084711977699636,0.0189770680845768,0.0285714285714285,9.113871780030306e-07,78.125,17.0,69.73087201923963,0,0.1992310629121132,39.85808982618602,6.011223435491284,-10.694029799085508,23.67663728909,10.352371962710585,-2.3164447482797,-9.45751927238625,-10.114916427126827,-6.121743260630519,-1.4224433627994848,1.301688429568742,1.9307340685976264,1.1805848029068713,0.4967879343520394,-0.5912474817249244,WALKING
-0.0083317739473729,0.009854590864444,-0.0970093404450059,0.0511432830952711,-0.0082305016972648,0.0129047052742674,0.02,3.039933646456754e-07,46.875,21.0,45.05321730855263,0,0.1287234780244361,37.2255926179643,6.037974913624032,-11.402770334828862,24.31999840127447,10.230329785853872,-2.763433709515521,-9.214071779557202,-8.601185293890401,-3.971451408256767,0.3103517523821747,1.820643468207491,1.2231218408033575,-0.0154762983405514,-0.2714257598503873,-0.2024876448774812,WALKING
-0.00832190059618,0.0126532705169254,-0.1113590816326969,0.0586023552710428,-0.0083917801109482,0.0151446123855051,0.0314285714285714,5.038359405146439e-07,78.125,20.0,56.9484462893998,0,0.1627098465411423,40.47486708819643,6.134860288775035,-11.172260912497338,23.785664107063983,10.379106818287005,-1.819367960235989,-8.821246881054043,-9.393493301591668,-5.886798261234067,-1.2382128936524714,1.0423121678758134,1.5136464752186118,0.399878539909167,0.4283093179559319,0.1863009465978066,WALKING
-0.0084013756824844,0.0102334807685948,-0.1042437200149334,0.0516288197843809,-0.0083767510571025,0.0132403641188391,0.0228571428571428,3.285587761426576e-07,78.125,21.0,46.27722478810266,0,0.1322206422517219,36.96511434759436,6.034883808274723,-11.541791874021126,23.480352896523183,10.473885593257526,-1.515434595979878,-7.5604944345097636,-7.222253236929937,-3.204128901308067,0.4127831253986025,1.5567369016962176,1.1028633194317057,0.3854898769376668,0.629561417223099,0.5985147177114655,WALKING
-0.0083841265534238,0.0117850790698205,-0.1064292681749284,0.0619485465832969,-0.0084208251998795,0.0144631140058339,0.0228571428571428,4.373657437519939e-07,46.875,18.0,49.982153840238695,0,0.1428061538292534,35.7954468368612,5.93153816393071,-11.323545639233476,24.23394191248499,10.9876177210699,-0.8604455593291254,-6.809360774656819,-7.17285494856219,-4.545901404864714,-1.9469996224740789,-0.9329080227046276,-0.595935093201665,-0.3527583139692647,0.6435533891368517,1.1547941245840283,WALKING
-0.0084986117755516,0.0109114460492879,-0.1039214827581185,0.0629880736621372,-0.0086362444469296,0.0138306202680164,0.0228571428571428,3.761571200121308e-07,46.875,20.0,47.93247444926804,0,0.1369499269979087,36.40344895930926,5.969530604942088,-11.42052812387954,24.72934839490896,10.550980339902916,-2.062429047801758,-7.501983220626426,-6.153214266571415,-2.3180705578560508,-0.1764667236387645,-0.4942348578302662,-0.8714329923468119,-0.6081314107342524,0.4654906004859115,0.1747224337434468,WALKING
-0.0082228937333906,0.0077404371353226,-0.0693315304938404,0.040614044726363,-0.0079587921825468,0.0112929335602631,0.0228571428571428,1.8552910863079434e-07,46.875,18.0,37.84398169853519,0,0.1081256619958148,36.10845331859855,6.024857742056323,-11.529210009452832,23.76406259570744,10.943616178352134,-1.3269026859661213,-7.908014382295001,-7.966699138162877,-3.6206926095622016,0.3843722514184828,1.8867687860102516,0.6258617937328297,-0.5518961384254805,-0.9108308568163554,-0.0917183394587464,WALKING
-0.0083069419898772,0.0086496379799203,-0.0856364331237476,0.0454770844419013,-0.0081556160054942,0.0119925611279187,0.02,2.3376128598093485e-07,46.875,19.0,40.199190871924166,0,0.1148548310626404,35.84111923166718,5.951744830679306,-11.586485543167225,23.814759981275195,11.28713924247274,-0.5379156632517813,-6.801699133928887,-7.294522770428262,-4.075975045521539,-0.7745447496597628,0.2843778175904967,-0.5365601707228457,-1.6802473203891228,-1.1954452228516297,-0.043718194178183,WALKING
-0.0082970707454835,0.0180844157145522,-0.1644624810863905,0.090825711002861,-0.0082079617934219,0.0198969212365205,0.04,1.0366419597136278e-06,78.125,13.0,69.33571754299162,0,0.1981020501228332,40.135296800203065,5.925434881371575,-10.80646615554948,24.478815653277504,9.743765976975975,-3.625745424825039,-10.24620815535941,-9.591322314706185,-4.969471613399813,0.2500041430827303,2.8734419144755616,2.9955253970166003,1.3404239617578029,0.6195013138977727,-0.1648849767764157,WALKING
